Site,SVSubjects,x1,x2,x3,x4,x5,ProbabilityUnderreporting
46,35,34,0,0,0,1,0.8654168468099385
138,42,41,1,0,0,0,0.765798571289763
161,41,40,1,0,0,0,0.7550253055690922
575,34,33,1,0,0,0,0.6670349008807469
299,35,32,1,1,1,0,0.5605411775934046
667,27,26,1,0,0,0,0.5549058114565184
644,29,27,1,0,0,1,0.5421094063137655
460,26,25,1,0,0,0,0.5368220745278904
483,26,25,1,0,0,0,0.5368220745278904
207,28,26,1,0,1,0,0.524814810564548
368,26,24,1,1,0,0,0.4649705814996312
184,30,28,2,0,0,0,0.44051830368543865
253,20,19,1,0,0,0,0.41793774143010654
345,26,24,2,0,0,0,0.3789067052350128
506,25,23,2,0,0,0,0.36327392312507367
92,22,20,2,0,0,0,0.31613954453306525
437,27,24,2,1,0,0,0.2982739424251084
414,24,21,3,0,0,0,0.293378925982423
